name,gender
BossMan Dlow,male
Ludwig Göransson,male
KAROL G,female
Doja Cat,female
Bakar,male
Hotel Ugly,male
Jonas Brothers,band
Feid,male
Yng Lvcas,male
LUCKI,male
Veeze,male
Katy Nichole,female
Laufey,female
Kelsea Ballerini,female
Melanie Martinez,female
FISHER,male
Niall Horan,male
Manuel Turizo,male
Austin Williams,male
Jack Harlow,male
FIFTY FIFTY,band
Larry June,male
Eslabon Armado,band
Paramore,band
The Beaches,band
Autumn!,male
beabadoobee,female
Drake,male
Cleo Sol,female
MEDUZA,band
Royel Otis,band
Post Malone,male
OsamaSon,male
Kendrick Lamar,male
Billie Eilish,female
"Tyler, The Creator",male
Sabrina Carpenter,female
SZA,female
Doechii,female
Taylor Swift,female
The Marías,band
Tito Double P,male
Zach Top,male
Benson Boone,male
Future,male
Rauw Alejandro,male
Gracie Abrams,female
Kendrick Lamar,male
Post Malone,male
Sam Barber,male
Kendrick Lamar,male
Ariana Grande,female
Don Toliver,male
Peso Pluma,male
Lady Gaga,female
Charli xcx,female
Alex Warren,male
Taylor Swift,female
Gunna,male
Gigi Perez,female
Gracie Abrams,female
Chappell Roan,female
Zach Bryan,male
Juice WRLD,male
ROSÉ,female
GloRilla,female
BigXthaPlug,male
Ivan Cornejo,male
beabadoobee,female
21 Savage,male
Clairo,female
Morgan Wallen,male
Fuerza Regida,band
Megan Moroney,female
Jelly Roll,male
Gracie Abrams,female
Ken Carson,male
Noah Kahan,male
PARTYNEXTDOOR,male
Forrest Frank,male
Beyoncé,female
Charli xcx,female
Rod Wave,male
Tucker Wetmore,male
Riley Green,male
Lil Tecca,male
Leon Thomas,male
Zach Bryan,male
Shaboozey,male
Olivia Rodrigo,female
Tommy Richman,male
ROSÉ,female
d4vd,male
Lola Young,female
Gavin Adcock,male
$uicideboy$,band
Luke Combs,male
Dua Lipa,female
NLE Choppa,male
GloRilla,female
Eminem,male
The Red Clay Strays,band
Hozier,male
Omar Courtz,male
Future,male
Morgan Wallen,male
Future,male
BossMan Dlow,male
Shaboozey,male
Morgan Wallen,male
Chrystal,female
Lizzy McAlpine,female
Koe Wetzel,male
Lola Young,female
Yeat,male
Josiah Queen,male
Morgan Wallen,male
Lainey Wilson,female
ROLE MODEL,male
Stray Kids,band
Neton Vega,male
Linkin Park,band
The Marías,band
Dasha,female
Max McNown,male
Jimin,male
sombr,male
Fuerza Regida,band
Fuerza Regida,band
Ella Langley,female
KAROL G,female
Falling In Reverse,band
Twenty One Pilots,band
Tito Double P,male
Riley Green,male
Oscar Maydon,male
Warren Zeiders,male
LUCKI,male
Myles Smith,male
Shaboozey,male
Nessa Barrett,female
Chino Pacas,male
Chance Peña,male
Post Malone,male
Malcolm Todd,male
Tito Double P,male
Ravyn Lenae,female
Sabrina Carpenter,female
Megan Thee Stallion,female
Megan Thee Stallion,female
The Kid LAROI,male
Dylan Scott,male
Ella Langley,female
Flatland Cavalry,band
Cody Johnson,male
Marshmello,male
Michael Marcagi,male
Benson Boone,male
Dan Kraus,male
FloyyMenor,male
Hozier,male
Sexyy Red,female
Redferrin,male
Kali Uchis,female
Megan Moroney,female
John Summit,male
Kendrick Lamar,male
Xavi,male
Calvin Harris,male
Thomas Rhett,male
Malcolm Todd,male
Jessie Murph,female
J. Cole,male
Addison Rae,female
Yeat,male
yung kai,male
Stray Kids,band
Magdalena Bay,band
Post Malone,male
BossMan Dlow,male
Tyla,female
Drake,male
Kelsea Ballerini,female
Hudson Westbrook,male
Jimin,male
SZA,female
Chris Brown,male
Bring Me The Horizon,band
Sabrina Carpenter,female
Bryson Tiller,male
Lil Uzi Vert,non-binary
That Mexican OT,male
Laufey,female
Hudson Westbrook,male
Nettspend,male
Gabito Ballesteros,male
bbno$,male
Wallows,band
Jimin,male
Alexandre Alekhine,male
Good Neighbours,band
Jimin,male
Mark Ambor,male
Jordan Davis,male
Wisp,female
Loe Shimmy,male
Morgan Wallen,male
Flo Milli,female
Latto,female
Moneybagg Yo,male
Carin Leon,male
Hanumankind,male
Luke Combs,male
Gigi Perez,female
keshi,male
Cigarettes After Sex,band
Brooks & Dunn,band
Carin Leon,male
Josiah Queen,male
Remi Wolf,female
Doechii,female
Vincent Mason,male
Benson Boone,male
Gunna,male
Dominic Fike,male
Cameron Whitcomb,male
Calle 24,male
KAYTRANADA,male
Ravyn Lenae,female
Neton Vega,male
Thomas Rhett,male
LE SSERAFIM,band
FloyyMenor,male
Alex Warren,male
Luh Tyler,male
Glass Animals,band
Mk.gee,male
Playboi Carti,male
The Marías,band
TV Girl,band
Sleep Token,band
Ed Sheeran,male
Rod Wave,male
PinkPantheress,female
Lynyrd Skynyrd,band
Lainey Wilson,female
Toby Fox,male
David Guetta,male
BossMan Dlow,male
Miley Cyrus,genderfluid
Bruce Springsteen,male
Stray Kids,band
LUCKI,male
Dan Kraus,male
G-Eazy,male
That Mexican OT,male
Bryan Martin,male
Russ,male
Counting Crows,band
FloyyMenor,male
