album_id,album_name,artist_name,release_date,total_tracks,popularity,image_url,genre,genre_cleaned,genre_condensed
7izx6fRu7oJnc608X5wG70,Out Cold with White Noise,Valdervande,2022-08-28,2,63,https://i.scdn.co/image/ab67616d0000b2738973cc9a1566a1a0264e2292,relaxed,relaxed,relaxed
5q2iMctlDvEMYVIawF6Vop,Actual Life 3 (January 1 - September 9 2022),Fred again..,2022-10-28,13,67,https://i.scdn.co/image/ab67616d0000b2737622b889949b07f15c6b57e2,garage house,electronic,electronic
0FYx1eAmRmf8v2b83MtvQe,Peaceful Flow of White Noise,Klangspiel,2022-07-17,2,63,https://i.scdn.co/image/ab67616d0000b273b995bd862ce88f3c976a7926,white noise,relaxed,relaxed
305fd6KSKY40Yjgwvm2ck6,rapunzel,Dhruv,2022-01-21,8,70,https://i.scdn.co/image/ab67616d0000b2736f04e53cb5309f8e88286842,jazz,jazz,soul/jazz
31L7J7AO993tSBxAunoeoa,SIXDO,Feid,2022-12-02,6,70,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99,Reggaeton,reggae,reggae
7y17IKdJ8sgnE1l38ov0xb,Relaxing Brown Noise 256 Hz,Jane Color,2022-07-15,2,61,https://i.scdn.co/image/ab67616d0000b273de97c8a952ebdcf4c4e47008,relaxed,relaxed,relaxed
3cN3mENkACWuRCDOuQUtfw,Remember That You Will Die,Polyphia,2022-10-28,12,62,https://i.scdn.co/image/ab67616d0000b273a2d8391f5021568d253a4eef,progressive metal,metal,metal
7eC4wtMG1I2Jtk4FDWbkKC,ESQUEMAS,Becky G,2022-05-13,14,67,https://i.scdn.co/image/ab67616d0000b273518859dcb13382116f450073,latin,latin,latin
1GyQLjSuRSi6jcnn8YOusV,RUNRUNRUN,Dutch Melrose,2022-03-25,1,65,https://i.scdn.co/image/ab67616d0000b2739bd54573540bccf89ed1b2f7,pop,pop,pop
2r8MHSTtnErtLRIhwR2P9E,Pistol Made of Roses,Megan Moroney,2022-07-15,6,57,https://i.scdn.co/image/ab67616d0000b273f7f4c2c5553f30cd9783908e,country,country,country/folk
7MUY0WxCmHcgEEeQNjoe8a,Sorry 4 What,Tory Lanez,2022-09-30,20,61,https://i.scdn.co/image/ab67616d0000b2733f8455eeaf0125c7b179840c,rnb,r&b,r&b
7jaSNQUBJbvfbZHLNFrV7P,BORN PINK,BLACKPINK,2022-09-16,8,67,https://i.scdn.co/image/ab67616d0000b2734aeaaeeb0755f1d8a8b51738,k-pop,k-pop,k-pop
2EEercDSp5OpbqROZSD7VP,Im Still Serious 2,Baby Smoove,2022-10-03,22,57,https://i.scdn.co/image/ab67616d0000b273fad8df8227f6fb5e9dfba744,detroit trap,rap,rap/hip hop
4P0aLF8ud7ngqUofnVzlev,Footprints I Found,David Kushner,2022-09-16,7,64,https://i.scdn.co/image/ab67616d0000b273a3f03a74f3f5ec8873c98924,indie,indie,indie
1GHKYPEDaLITJ3M24lX6yb,You Here Tonight,Josh Meloy,2022-08-26,1,58,https://i.scdn.co/image/ab67616d0000b273c23c3076437a7eccbf81ce6f,country,country,country/folk
1xwuoLGU6bjyiGArJAVYeH,Last Ones Left,42 Dugg,2022-04-08,17,58,https://i.scdn.co/image/ab67616d0000b2739a8572d2a9f3bdf89561f4fc,rap,rap,rap/hip hop
