name,gender
Megan Moroney,female
Tory Lanez,male
BLACKPINK,Unknown
Baby Smoove,male
David Kushner,male
Josh Meloy,Not found
42 Dugg,male
Take Care,Unknown
Zach Bryan,male
Freddie Dredd,male
Nylana,Not found
Stephen Sanchez,Unknown
5 Seconds of Summer,Unknown
SleazyWorld Go,male
jev.,male
Morgan Wallen,male
Chappell Roan,female
Zach Bryan,male
Travis Scott,male
Bailey Zimmerman,male
Olivia Rodrigo,female
Chappell Roan,female
Junior H,Unknown
Luke Combs,male
Sleep Token,Unknown
Teddy Swims,male
Taylor Swift,female
Treaty Oak Revival,Unknown
Peso Pluma,male
Drake,male
Daniel Caesar,male
Noah Kahan,male
Tate McRae,female
Don Toliver,male
Taylor Swift,female
BigXthaPlug,male
Brent Faiyaz,male
BigXthaPlug,male
Bad Bunny,male
Fuerza Regida,Unknown
Megan Moroney,female
Laufey,Unknown
Chris Stapleton,male
KAROL G,female
Ken Carson,male
The Kid LAROI,male
HARDY,Unknown
d4vd,male
Grupo Frontera,Unknown
Lana Del Rey,female
Mitski,female
Sleepy Hallow,male
Sabrina Carpenter,female
Lil Tecca,male
Rod Wave,male
Jelly Roll,Unknown
Miley Cyrus,genderfluid
The Weeknd,male
Kali Uchis,female
Tate McRae,female
"Tyler, The Creator",male
Gracie Abrams,female
Zach Bryan,male
Gunna,Unknown
Metro Boomin,male
Hozier,male
Rauw Alejandro,male
Jung Kook,male
NF,Unknown
Taylor Swift,female
Cody Johnson,male
Jordan Davis,Unknown
Nate Smith,male
Warren Zeiders,male
alex_g_offline,Not found
Taylor Swift,female
A$AP Rocky,male
KAROL G,female
Feid,male
RAYE,female
Miracle Tones,Not found
Tainy,male
Elevation Worship,Unknown
Jorge Rivera-Herrans,Not found
Jungle,Unknown
Julión Álvarez y su Norteño Banda,Not found
Chezile,Not found
Dominic Fike,male
That Mexican OT,male
Lil Uzi Vert,non-binary
Carin Leon,male
Troye Sivan,male
Bryan Martin,male
Sam Barber,male
wave to earth,Unknown
boygenius,Unknown
Nicki Minaj,female
Drake,male
BigXthaPlug,male
Billie Eilish,female
Sexyy Red,female
Bits & Noise,Not found
Mac DeMarco,male
Natanael Cano,male
Jack Harlow,male
Nafeesisboujee,Not found
beabadoobee,female
Ole 60,Not found
Rauw Alejandro,male
Lil Yachty,male
Jessie Murph,female
Calmly,Unknown
Don Toliver,male
Ella Langley,female
beabadoobee,female
Olivia Rodrigo,female
Relaxing Music For Kids,Not found
Gregory Alan Isakov,male
Noah Kahan,male
LUCKI,male
Morgan Wallen,male
Catch Your Breath,Unknown
Moneybagg Yo,male
Gavin Adcock,male
Nicky Youre,male
Daniel Caesar,male
Doja Cat,female
Beach Weather,Unknown
Key Glock,male
emmanuellcortess_,Not found
Lil Durk,male
Destroy Lonely,male
Rich Amiri,male
Doja Cat,female
Riley Green,male
NLE Choppa,male
Tiësto,male
Parker McCollum,male
Hunxho,male
Lauren Spencer Smith,female
NewJeans,Unknown
Focus Noise,Not found
Eslabon Armado,Unknown
Dua Lipa,female
Pecos & the Rooftops,Not found
Zach Bryan,male
Charles Wesley Godwin,male
Agust D,male
Tyla,Unknown
Teddy Swims,male
Trolls,Unknown
Calmly,Unknown
Calmly,Unknown
Tyler Hubbard,male
PinkPantheress,female
Calmly,Unknown
juju<3,Not found
Olivia Dean,female
LE SSERAFIM,Unknown
Calmly,Unknown
Yeat,male
Lana Del Rey,female
Calmly,Unknown
Paul Russell,male
Pierce The Veil,Unknown
Zach Bryan,male
Brandon Lake,male
Snow Strippers,Unknown
Dylan Gossett,male
Calmly,Unknown
Disney,Unknown
The Weeknd,male
AJR,Unknown
Jason Aldean,male
Cris Mj,male
NewJeans,Unknown
Chris Brown,male
Dream Supplier,Not found
Reneé Rapp,female
Joey Valence & Brae,Unknown
Stray Kids,Unknown
Calmly,Unknown
beabadoobee,female
ILLENIUM,male
Lewis Capaldi,male
Melanie Martinez,female
Post Malone,male
Dylan Gossett,male
Old Dominion,Unknown
$uicideboy$,Unknown
Stray Kids,Unknown
Soft Soundscapes,Not found
Måneskin,Unknown
Bluey,Unknown
Big Thief,Unknown
Corey Kent,male
Oscar Maydon,male
Gorillaz,Unknown
Stephen Sanchez,Unknown
jaydes,male
Sexyy Red,female
Nic D,male
Offset,male
Clara La San,female
glaive,male
Forrest Frank,male
BABY GRAVY,Unknown
Wind Walkers,Unknown
Tyler Childers,male
Michael Marcagi,male
Leith Ross,Unknown
Oliver Anthony Music,male
Junior H,Unknown
Jalen Ngonda,male
Oscar Maydon,male
Tory Lanez,male
Alek Olsen,Not found
sombr,male
Tee Grizzley,male
Leon Thomas,male
Becky G,female
Forrest Frank,male
ENHYPEN,Unknown
Odetari,male
Maluma,Unknown
NLE Choppa,male
Myke Towers,male
BossMan Dlow,male
Ludwig Göransson,male
KAROL G,female
Doja Cat,female
Noise Eternity,Not found
Bakar,Unknown
Hotel Ugly,Unknown
Jonas Brothers,Unknown
Feid,male
Yng Lvcas,male
LUCKI,male
Veeze,male
Katy Nichole,female
Laufey,Unknown
Various Artists,Unknown
Kelsea Ballerini,female
Melanie Martinez,female
FISHER,Unknown
Niall Horan,male
Manuel Turizo,male
Austin Williams,male
Jack Harlow,male
FIFTY FIFTY,Unknown
Larry June,male
Eslabon Armado,Unknown
Paramore,Unknown
The Beaches,Unknown
Yashida Miyota,Not found
CYRIL,Unknown
Autumn!,male
beabadoobee,female
Drake,male
Muscadine Bloodline,Not found
Cleo Sol,female
MEDUZA,Unknown
Royel Otis,Unknown
Post Malone,male
OsamaSon,male
Kendrick Lamar,male
Billie Eilish,female
"Tyler, The Creator",male
Sabrina Carpenter,female
SZA,female
Doechii,female
Taylor Swift,female
The Marías,Unknown
Tito Double P,male
Zach Top,male
Benson Boone,male
Future,Unknown
Rauw Alejandro,male
Gracie Abrams,female
Kendrick Lamar,male
Post Malone,male
Sam Barber,male
Kendrick Lamar,male
Ariana Grande,female
Don Toliver,male
Peso Pluma,male
Lady Gaga,female
Charli xcx,female
Alex Warren,male
Wicked Movie Cast,Not found
Taylor Swift,female
Gunna,Unknown
Gigi Perez,female
Gracie Abrams,female
Chappell Roan,female
Zach Bryan,male
Juice WRLD,male
ROSÉ,Unknown
GloRilla,female
BigXthaPlug,male
Ivan Cornejo,male
Arcane,Unknown
beabadoobee,female
21 Savage,male
Clairo,female
Morgan Wallen,male
Fuerza Regida,Unknown
Megan Moroney,female
Jelly Roll,Unknown
Gracie Abrams,female
Ken Carson,male
Noah Kahan,male
PARTYNEXTDOOR,Unknown
Forrest Frank,male
Beyoncé,female
Charli xcx,female
Rod Wave,male
Disney,Unknown
Tucker Wetmore,male
Riley Green,male
Lil Tecca,male
Leon Thomas,male
Zach Bryan,male
Shaboozey,male
Olivia Rodrigo,female
Tommy Richman,male
ROSÉ,Unknown
d4vd,male
Lola Young,female
Gavin Adcock,male
$uicideboy$,Unknown
Jorge Rivera-Herrans,Not found
¥$,Unknown
Luke Combs,male
Dua Lipa,female
NLE Choppa,male
GloRilla,female
Eminem,male
The Red Clay Strays,Unknown
Hozier,male
Omar Courtz,male
Future,Unknown
Morgan Wallen,male
Future,Unknown
BossMan Dlow,male
Shaboozey,male
Morgan Wallen,male
Jorge Rivera-Herrans,Not found
Jorge Rivera-Herrans,Not found
Chrystal,Unknown
Lizzy McAlpine,female
Koe Wetzel,male
Lola Young,female
Yeat,male
Josiah Queen,male
Morgan Wallen,male
Lainey Wilson,female
ROLE MODEL,male
Stray Kids,Unknown
Jorge Rivera-Herrans,Not found
Neton Vega,male
Linkin Park,Unknown
The Marías,Unknown
ian,Unknown
Jorge Rivera-Herrans,Not found
Dasha,Unknown
Max McNown,male
Jimin,Unknown
sombr,male
Fuerza Regida,Unknown
Fuerza Regida,Unknown
Ella Langley,female
KAROL G,female
Falling In Reverse,Unknown
Twenty One Pilots,Unknown
Tito Double P,male
Riley Green,male
Jorge Rivera-Herrans,Not found
Waylon Wyatt,Not found
Oscar Maydon,male
Warren Zeiders,male
LUCKI,male
Myles Smith,male
Shaboozey,male
Nessa Barrett,female
Chino Pacas,male
Chance Peña,Not found
Post Malone,male
Malcolm Todd,male
Tito Double P,male
Ravyn Lenae,female
ian,Unknown
Various Artists,Unknown
Sabrina Carpenter,female
Megan Thee Stallion,female
Megan Thee Stallion,female
The Kid LAROI,male
Dylan Scott,male
Ella Langley,female
Flatland Cavalry,Unknown
Cody Johnson,male
Marshmello,male
Michael Marcagi,male
Benson Boone,male
Tyler Braden,Not found
Dan Kraus,male
Jorge Rivera-Herrans,Not found
FloyyMenor,male
¥$,Unknown
Calmly,Unknown
Hozier,male
Sexyy Red,female
Redferrin,male
Jorge Rivera-Herrans,Not found
Kali Uchis,female
Megan Moroney,female
John Summit,male
Kendrick Lamar,male
Xavi,Unknown
Calvin Harris,male
Thomas Rhett,male
Malcolm Todd,male
Calmly,Unknown
Jessie Murph,female
Luis R Conriquez,Not found
J. Cole,male
Addison Rae,female
Disney,Unknown
Yeat,male
yung kai,Unknown
Stray Kids,Unknown
Alleh,Unknown
Calmly,Unknown
Magdalena Bay,Unknown
アトラスサウンドチーム,Not found
Post Malone,male
Calmly,Unknown
BossMan Dlow,male
Ocean Therapy,Unknown
Tyla,Unknown
Drake,male
Kelsea Ballerini,female
Hudson Westbrook,Not found
Jimin,Unknown
SZA,female
wifiskeleton,Not found
Calmly,Unknown
Chris Brown,male
Calmly,Unknown
Bring Me The Horizon,Unknown
Sabrina Carpenter,female
Luis R Conriquez,Not found
Bryson Tiller,male
Artemas,Unknown
Friede,Unknown
Lil Uzi Vert,non-binary
That Mexican OT,male
Laufey,Unknown
Rola Young,Not found
Hudson Westbrook,Not found
Nettspend,male
Gabito Ballesteros,male
bbno$,male
Wallows,Unknown
Jimin,Unknown
Alexandre Alekhine,male
Good Neighbours,Unknown
Jimin,Unknown
Calmly,Unknown
Mark Ambor,male
Jordan Davis,Unknown
Wisp,Unknown
Loe Shimmy,male
Morgan Wallen,male
Flo Milli,female
Latto,female
Moneybagg Yo,male
Bloodhound Lil Jeff,Not found
Carin Leon,male
Hanumankind,male
BabyChiefDoit,Not found
Jorsshh,Not found
Calmly,Unknown
Luke Combs,male
Gigi Perez,female
Calmly,Unknown
keshi,Unknown
Cigarettes After Sex,Unknown
Brooks & Dunn,Unknown
Carin Leon,male
Josiah Queen,male
Calmly,Unknown
Remi Wolf,female
Doechii,female
Vincent Mason,male
Benson Boone,male
Gunna,Unknown
proderics,Not found
Calmly,Unknown
Dominic Fike,male
Cameron Whitcomb,male
Calle 24,male
KAYTRANADA,male
Ravyn Lenae,female
Neton Vega,male
Various Artists,Unknown
Thomas Rhett,male
LE SSERAFIM,Unknown
FloyyMenor,male
Alex Warren,male
Luh Tyler,male
Artemas,Unknown
Glass Animals,Unknown
Jasiel Nuñez,Not found
Mk.gee,male
Playboi Carti,male
The Marías,Unknown
TV Girl,Unknown
Sleep Token,Unknown
Arcane,Unknown
Ed Sheeran,male
Rod Wave,male
PinkPantheress,female
Lynyrd Skynyrd,Unknown
Lainey Wilson,female
Toby Fox,male
David Guetta,male
BossMan Dlow,male
Miley Cyrus,genderfluid
Bruce Springsteen,male
Stray Kids,Unknown
LUCKI,male
Old Dominion,Unknown
Dan Kraus,male
G-Eazy,male
That Mexican OT,male
Bryan Martin,male
Russ,Unknown
Counting Crows,Unknown
FloyyMenor,male
JVKE,male
Sexyy Red,female
SiR,Unknown
Jessie Murph,female
Rise Against,Unknown
Mike Posner,male
Hans Zimmer,male
Tiësto,male
RÜFÜS DU SOL,Unknown
Simple Minds,Unknown
Calum Scott,male
Pinkfong,Unknown
