image,skin_percentage
4qUMByJ3Pk94BFnCmGaUPS.jpg,30.79
6ufaA5YvSGK3E9KnRFYvvo.jpg,0.0
7r6uKLgWDYlTmaOoTNnQ1W.jpg,0.78
7IrTWvmwWzNs06jd3kEyMQ.jpg,76.44
7gx8eaeS1UuKkqQ5UR3NdR.jpg,0.0
2AQvEaTftBRkdPm631O1rZ.jpg,2.9
1x6p39FFIESOq8q8B4oQXN.jpg,1.1
6tDerbhPTlX8pa0hyRStZG.jpg,31.38
464RND3X75xuIeJDqdEcbY.jpg,10.25
1BubKJqf6Uc4fNae5kLJJ7.jpg,8.94
5IlYFprRPoMZ0qeNh6ghcs.jpg,58.72
4PWZRT6iYUtGwcT027Zz2f.jpg,2.24
7brTfUN69zdDdh3al6L3gy.jpg,0.0
0FrC9lzgVhziJenigsrXdl.jpg,1.46
6012ywIYPi6nTdh3mu18ht.jpg,0.0
4hRSrC7bRqBqDDSfhe5qRO.jpg,0.11
31LvSRXGPVhYs2EZFK0BEU.jpg,0.13
7gA8QSNSZvHUYC9feFpeLj.jpg,13.43
129Aqm83Kqbq7E3xjW4Pww.jpg,68.56
4IrKqWfXyJknGVjBGbGX1v.jpg,81.74
5kBHoINYa2WwRaOK3vA7LC.jpg,0.0
6iHcF36BJqttXoJjpWBjKv.jpg,1.53
12nlJpvrOd7tTOaCxB1UeR.jpg,5.45
5i9lMMUZ1QZNsLEE3j50kT.jpg,53.26
2VqGOWnMT8pJsYkRuEkqb7.jpg,43.44
0eu2mZjF6JQTuLCu9ils6m.jpg,42.65
0PzdLoIQIXkayaxuagPHH6.jpg,27.37
4x9A0y214gGJVGuv8Hm6W0.jpg,12.46
3iRQdNKyI5Pf78jWYI1tFv.jpg,2.86
7vZC8PTQUCcw3687OxqY98.jpg,4.78
7haP1A1a1ssJKXBKskVLvG.jpg,2.72
2zGCJNP7fNisFEIQQfvb2g.jpg,0.0
37pybzpDmRcWNj0gVWo4Xs.jpg,0.0
6ipRWaOFQ28VeLlhLaK1rH.jpg,3.82
0V8SYMiseBxd13rhdfmcsF.jpg,59.02
6vxU4GMNZCktb79R76abGb.jpg,35.79
77jvaKjAJW0O7c3QLSq1ne.jpg,2.13
2oa6sd6X59IMadOEMqQTUp.jpg,0.0
15RBM49f8V4Aj8Vh9ECL5Z.jpg,25.44
1wYxighrXciRyM6KjF5Gv2.jpg,28.21
3Sh7wBqWoAbzsAACiicv6d.jpg,19.12
4xoYP4Vs698DMZUC6xcYPL.jpg,16.5
4Yfy7qLIXR5UB7ItE28MIO.jpg,0.0
6he2YEbnx8hdBMu07VpwfO.jpg,0.15
1HQ61my1h3VWp2EBWKlp0n.jpg,1.18
2HW50pzz8fOkfdauYGPNYb.jpg,1.38
7kjLKy9JLbwM9F7eDQEnd2.jpg,0.43
4BSjZSAOEX6Gs4f8e1xatg.jpg,0.0
0dtwIycvTaFNjo44QRwWz7.jpg,0.73
39IlEjfpEnWWhpiv03KRx0.jpg,63.73
0E2dGqcRK31AewsOMSZS3E.jpg,25.96
4vxPW02Yf9UbO90m7yM6PY.jpg,22.53
0Rzg7fqyWE39G6wKipxrns.jpg,0.66
2nPt3BGpcWAt2pU6FjQC5n.jpg,11.41
5PmtX9B5vNa4uaiXQVn4Gx.jpg,12.75
0DoVnWjNFYoUfq7qe36jxh.jpg,32.56
4uoeBpJ631QyWNHw9GqTEn.jpg,0.91
2c6s84YTwR9cfncPmB9fNW.jpg,22.06
3Uq1jNGnD412ZvCb6j2DKV.jpg,47.08
35FSH5VP6Om7kBFtGn25wm.jpg,0.76
74q6SppUb5vWXAltV7B6bA.jpg,47.1
2kAer61g2HN6upL2zXAjzd.jpg,0.72
3QihlkRQnjlGk6rLPSjXob.jpg,23.54
2j74DNrJ8TgnMEukERqnnm.jpg,3.92
1dwo7QqEHtUeFs6qz2pNm2.jpg,11.88
0cE44CtxepzcW0uP2Gx7xA.jpg,4.67
5a4Yx5hc7VRHUBeNX56euP.jpg,0.08
